Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DDD,3D Systems Corporation,21.79,2479934042,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,196.57,1.17399E+11,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,9.28,380382643.5,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,43.2,6256893514,n/a,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
AHC,A.H. Belo Corporation,5.95,129302222.7,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
ATEN,"A10 Networks, Inc.",8.25,572031537,n/a,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",7.17,172596017.7,n/a,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
AIR,AAR Corp.,34.51,1184526451,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",35,2540240535,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,24.75,53057458922,n/a,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,43.96,76282559494,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,66.06,1.05137E+11,n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,13.83,940381250.2,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
GCH,"Aberdeen Greater China Fund, Inc.",10.9,96492489.8,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch
JEQ,"Aberdeen Japan Equity Fund, Inc. ",8.25,110954431.5,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq
SGF,"Aberdeen Singapore Fund, Inc.",11.13,84101485.44,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf
ABM,ABM Industries Incorporated,42.24,2351739076,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,27.51,2330930223,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACN,Accenture plc,120.96,77545272188,n/a,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,12.25,1341994973,n/a,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
ATV,"Acorn International, Inc.",11.5354,44140854.08,n/a,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
ATU,Actuant Corporation,26.05,1554738633,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,173.43,7646959847,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,19.65,1462981348,n/a,2016,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/golf
ADX,"Adams Diversified Equity Fund, Inc.",14.04,1396093009,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",19.08,544835219.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo
AGRO,Adecoagro S.A.,11.5,1396087546,n/a,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
ADNT,Adient plc,71.25,6675907973,n/a,2016,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adnt
AAP,Advance Auto Parts Inc,145.02,10705199041,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
ADSW,"Advanced Disposal Services, Inc.",21.66,1911793995,n/a,2016,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/adsw
WMS,"Advanced Drainage Systems, Inc.",22.15,1220757978,n/a,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms
ASX,"Advanced Semiconductor Engineering, Inc.",6.16,10193008727,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
APFH,"AdvancePierre Foods Holdings, Inc.",40.49,3185142975,n/a,2016,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/apfh
ASIX,AdvanSix Inc.,31.14,949239561.2,n/a,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/asix
AAV,Advantage Oil & Gas Ltd,6.45,1193848315,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
AVK,Advent Claymore Convertible Securities and Income Fund,15.96,376350796.9,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,6.23,200586537.5,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,8.6,116986015,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
ACM,AECOM,32.1,4985628096,n/a,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,10.4,409799748.8,n/a,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AEB,Aegon NV,25.02,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
AED,Aegon NV,26.05,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed
AEG,Aegon NV,5,10445871980,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,26,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh
AEK,Aegon NV,25.9403,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek
AER,Aercap Holdings N.V.,44.62,7578746221,n/a,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
HIVE,"Aerohive Networks, Inc.",4.25,224570314.5,n/a,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",20.34,1515330000,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd
AET,Aetna Inc.,142.9,47399930000,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
AMG,"Affiliated Managers Group, Inc.",153.58,8693009186,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
MGR,"Affiliated Managers Group, Inc.",25.31,0,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/mgr
AFL,Aflac Incorporated,73.43,29140444223,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
AFSD,Aflac Incorporated,25.62,0,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd
MITT,"AG Mortgage Investment Trust, Inc.",18.17,503404029.1,n/a,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",25.531,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",25.25,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,63.74,5066964770,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco
A,"Agilent Technologies, Inc.",56.16,18100418825,n/a,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a
AEM,Agnico Eagle Mines Limited,48.42,11184365797,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,45.17,1184342946,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc
AGU,Agrium Inc.,90.97,12569908745,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu
AL,Air Lease Corporation,35.61,3673689661,n/a,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al
APD,"Air Products and Chemicals, Inc.",144.07,31367567418,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd
AYR,Aircastle Limited,21.6,1700216028,n/a,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr
AKS,AK Steel Holding Corporation,5.62,1769317899,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks
ALP^O,Alabama Power Company,28.01,0,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^o
ALG,"Alamo Group, Inc.",82.24,949892066.6,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,6.54,1956358112,n/a,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi
ALK,"Alaska Air Group, Inc.",83.59,10332050168,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk
AIN,Albany International Corporation,47.05,1510305000,n/a,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,110.38,12224837549,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb
AA,Alcoa Corporation,31.79,5856995068,n/a,2016,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa
ALR,Alere Inc.,46.7,4063024129,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr
ALR^B,Alere Inc.,373,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alr^b
ALEX,"Alexander & Baldwin Holdings, Inc.",41.21,2025377170,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",414,2114418060,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",115.85,10550853042,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are
ARE^D,"Alexandria Real Estate Equities, Inc.",35.1,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^d
AQN,Algonquin Power & Utilities Corp.,9.68,3702294993,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aqn
BABA,Alibaba Group Holding Limited,120.34,3.0085E+11,n/a,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/baba
Y,Alleghany Corporation,571.13,8805997604,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,15.33,1668245169,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati
ALLE,Allegion plc,76.73,7311361842,n/a,2013,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/alle
AGN,Allergan plc.,230.88,77544979194,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agn
AGN^A,Allergan plc.,817.15,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agn^a
ALE,"Allete, Inc.",69.36,3529253411,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ale
AKP,Alliance California Municipal Income Fund Inc,13.6,116343484.8,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/akp
ADS,Alliance Data Systems Corporation,243.47,13555423303,n/a,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ads
AFB,Alliance National Municipal Income Fund Inc,13.51,388344085.4,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/afb
AOI,"Alliance One International, Inc.",12.55,122169957.9,n/a,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/aoi
AWF,Alliance World Dollar Government Fund II,12.7,1095116898,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/awf
AB,AllianceBernstein Holding L.P.,21.15,2040408265,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ab
LNT,Alliant Energy Corporation,39.61,9024080042,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/lnt
NCV,AllianzGI Convertible & Income Fund,6.88,607392055.5,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncv
NCZ,AllianzGI Convertible & Income Fund II,6.05,450778802.7,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncz
ACV,AllianzGI Diversified Income & Convertible Fund,20.56,211253383.2,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/acv
NIE,AllianzGI Equity & Convertible Income Fund,19.67,545035341.6,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/nie
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",13.18,1249484838,n/a,2005,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nfj
AWH,"Allied World Assurance Company Holdings, AG",52.62,4603443072,n/a,2006,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/awh
ALSN,"Allison Transmission Holdings, Inc.",37.67,5726430967,n/a,2012,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alsn
ALL,Allstate Corporation (The),84.13,30666904977,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/all
ALL^A,Allstate Corporation (The),26.11,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^a
ALL^B,Allstate Corporation (The),28.1867,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^b
ALL^C,Allstate Corporation (The),27.07,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^c
ALL^D,Allstate Corporation (The),27.22,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^d
ALL^E,Allstate Corporation (The),27.17,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^e
ALL^F,Allstate Corporation (The),27.331,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^f
ALLY,Ally Financial Inc.,18.71,8591513678,n/a,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ally
ALLY^A,Ally Financial Inc.,25.35,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ally^a
ALJ,"Alon USA Energy, Inc.",12.53,900624623.9,n/a,2005,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/alj
ALDW,"Alon USA Partners, LP",11.33,708354092.6,n/a,2012,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/aldw
AGD,Alpine Global Dynamic Dividend Fund,10.07,126374290.7,n/a,2006,n/a,n/a,http://www.nasdaq.com/symbol/agd
AWP,Alpine Global Premier Properties Fund,6.02,514155865,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/awp
AOD,Alpine Total Dynamic Dividend Fund,8.62,927454582.2,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/aod
AYX,"Alteryx, Inc.",18.55,1057609700,n/a,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ayx
RESI,Altisource Residential Corporation,14.19,759384349,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/resi
MO,Altria Group,70.65,1.36471E+11,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/mo
ACH,Aluminum Corporation of China Limited,11.45,6825939587,n/a,2001,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/ach
AMBR,"Amber Road, Inc.",7.71,208430420.7,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ambr
ABEV,Ambev S.A.,6.26,98300160717,n/a,2013,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/abev
AMC,"AMC Entertainment Holdings, Inc.",26.9,3521336538,n/a,2013,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/amc
AMFW,Amec Plc Ord,6.84,2689021601,n/a,2014,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/amfw
AEE,Ameren Corporation,54.93,13327929454,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/aee
AMRC,"Ameresco, Inc.",6.5,295259750.5,n/a,2010,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/amrc
AMOV,"America Movil, S.A.B. de C.V.",15.2968,50324942320,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AMX,"America Movil, S.A.B. de C.V.",15.49,50960551000,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amx
AAT,"American Assets Trust, Inc.",39.38,1855335655,n/a,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aat
AXL,"American Axle & Manufacturing Holdings, Inc.",17.25,1917863384,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/axl
ACC,American Campus Communities Inc,45.3,6073546130,n/a,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/acc
AEO,"American Eagle Outfitters, Inc.",13.53,2394196469,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aeo
AEP,"American Electric Power Company, Inc.",68.06,33465923552,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aep
AEL,American Equity Investment Life Holding Company,23.68,2101671987,n/a,2003,Finance,Life Insurance,http://www.nasdaq.com/symbol/ael
AXP,American Express Company,77.49,69258949123,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/axp
AFA,"American Financial Group, Inc.",25.2359,0,n/a,2012,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afa
AFG,"American Financial Group, Inc.",97.03,8503407825,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afg
AFGE,"American Financial Group, Inc.",26.85,0,n/a,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afge
AFGH,"American Financial Group, Inc.",27.24,0,n/a,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afgh
AFW,"American Financial Group, Inc.",25.44,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afw
AMH,American Homes 4 Rent,22.3,5773268475,n/a,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amh
AMH^A,American Homes 4 Rent,28.35,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amh^a
AMH^B,American Homes 4 Rent,28.754,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^b
AMH^C,American Homes 4 Rent,28.12,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^c
AMH^D,American Homes 4 Rent,25.7,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^d
AMH^E,American Homes 4 Rent,25.45,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^e
AMH^F,American Homes 4 Rent,24.83,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^f
AIG,"American International Group, Inc.",60.99,56462841233,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/aig
AIG.WS,"American International Group, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aig.ws
AMID,"American Midstream Partners, LP",13.55,698986099.5,n/a,2011,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/amid
ARL,"American Realty Investors, Inc.",7.39,114651120.4,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/arl
ARA,"American Renal Associates Holdings, Inc",18.1,563843398.9,n/a,2016,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/ara
AWR,American States Water Company,44.35,1623928115,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/awr
AMT,American Tower Corporation (REIT),126.12,53602191960,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amt
AMT^A,American Tower Corporation (REIT),117.6,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amt^a
AMT^B,American Tower Corporation (REIT),116.41,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amt^b
AVD,American Vanguard Corporation,17.5,521203007.5,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/avd
AWK,American Water Works,76.31,13597764825,n/a,2008,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/awk
APU,"AmeriGas Partners, L.P.",43.88,4078999804,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/apu
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",126.13,19229011290,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),88.745,19378013603,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/abc
ANFI,Amira Nature Foods Ltd,5.25,156652193.3,n/a,2012,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/anfi
AMN,AMN Healthcare Services Inc,38.55,1846621059,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/amn
AP,Ampco-Pittsburgh Corporation,15.75,193262280.8,n/a,n/a,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/ap
APH,Amphenol Corporation,72.85,22264094639,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aph
BETR,"Amplify Snack Brands, inc.",8.92,684794010.7,n/a,2015,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/betr
AXR,AMREP Corporation,6.1,49275519.4,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/axr
AME,"AMTEK, Inc.",59.47,13684533881,n/a,n/a,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/ame
AFSI^A,"AmTrust Financial Services, Inc.",21.65,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^a
AFSI^B,"AmTrust Financial Services, Inc.",22.7,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^b
AFSI^C,"AmTrust Financial Services, Inc.",23.35,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^c
AFSI^D,"AmTrust Financial Services, Inc.",23.25,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^d
AFSI^E,"AmTrust Financial Services, Inc.",23.8916,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^e
AFSI^F,"AmTrust Financial Services, Inc.",22.05,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^f
AFSS,"AmTrust Financial Services, Inc.",25.32,0,n/a,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afss
AFST,"AmTrust Financial Services, Inc.",25.5838,0,n/a,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afst
AEUA,Anadarko Petroleum Corporation,45.1007,0,n/a,2015,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aeua
APC,Anadarko Petroleum Corporation,51.63,28930309798,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apc
AU,AngloGold Ashanti Limited,11.31,4617010726,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/au
BUD,Anheuser-Busch Inbev SA,119.83,1.92716E+11,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/bud
AXE,Anixter International Inc.,78.25,2599967835,n/a,n/a,Consumer Non-Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/axe
NLY,Annaly Capital Management Inc,11.3,11514518748,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nly
NLY^A,Annaly Capital Management Inc,25.9563,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^a
NLY^C,Annaly Capital Management Inc,25.5704,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^c
NLY^D,Annaly Capital Management Inc,25.7188,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^d
NLY^E,Annaly Capital Management Inc,25.58,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^e
AMGP,Antero Midstream GP LP,21.5,4002659580,n/a,2017,n/a,n/a,http://www.nasdaq.com/symbol/amgp
AM,Antero Midstream Partners LP,34.49,6409690373,n/a,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/am
AR,Antero Resources Corporation,21.17,6678027195,n/a,2013,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ar
ANTM,"Anthem, Inc.",181.44,48079097942,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antm
ANTX,"Anthem, Inc.",51.32,13599092297,n/a,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antx
ANH,Anworth Mortgage Asset  Corporation,5.84,558488532.3,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,26.4509,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,28.4301,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,24.8,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^c
AON,Aon plc,124.24,32559578664,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/aon
APA,Apache Corporation,51.45,19573503973,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apa
AIV,Apartment Investment and Management Company,43.22,6786501559,n/a,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiv
AIV^A,Apartment Investment and Management Company,26.742,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aiv^a
ARI,Apollo Commercial Real Estate Finance,18.16,1664109270,n/a,2009,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ari
ARI^A,Apollo Commercial Real Estate Finance,25.81,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari^a
ARI^C,Apollo Commercial Real Estate Finance,25.32,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari^c
APO,"Apollo Global Management, LLC",26.98,10966245905,n/a,2011,Finance,Investment Managers,http://www.nasdaq.com/symbol/apo
APO^A,"Apollo Global Management, LLC",25.8,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apo^a
AIB,Apollo Investment Corporation,25.3681,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aib
AIY,Apollo Investment Corporation,25.9668,0,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/aiy
AFT,Apollo Senior Floating Rate Fund Inc.,17.5,272528567.5,n/a,2011,n/a,n/a,http://www.nasdaq.com/symbol/aft
AIF,Apollo Tactical Income Fund Inc.,16.46,238077868,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/aif
